"","X","Y","heed","hid","hood","head"
"1",1,1,0,0,2,1
"2",1,2,1,1,1,0
"3",1,3,0,1,0,0
"4",1,4,0,0,1,1
"5",1,5,0,0,1,1
"6",1,6,1,0,1,1
"7",1,7,1,0,1,2
"8",1,8,2,0,0,1
"9",1,9,1,1,0,4
"10",1,10,1,0,1,1
"11",1,11,2,0,0,3
"12",1,12,3,1,0,3
"13",1,13,1,1,0,2
"14",1,14,3,1,0,4
"15",1,15,1,2,0,3
"16",1,16,1,1,0,6
"17",1,17,2,1,0,3
"18",1,18,2,2,0,3
"19",1,19,2,4,0,3
"20",2,1,0,1,3,0
"21",2,2,0,0,1,1
"22",2,3,0,1,2,2
"23",2,4,3,0,0,0
"24",2,5,1,0,0,1
"25",2,6,0,1,1,3
"26",2,7,1,0,0,2
"27",2,8,1,0,2,1
"28",2,9,0,1,0,1
"29",2,10,4,0,0,1
"30",2,11,1,2,0,0
"31",2,12,2,1,1,5
"32",2,13,0,2,0,5
"33",2,14,2,1,0,2
"34",2,15,1,1,0,4
"35",2,16,1,1,0,1
"36",2,17,1,4,0,3
"37",2,18,2,3,0,1
"38",2,19,2,2,0,3
"39",3,1,1,1,1,0
"40",3,2,0,0,1,0
"41",3,3,0,0,0,0
"42",3,4,0,0,1,0
"43",3,5,2,1,1,0
"44",3,6,0,0,1,2
"45",3,7,1,1,1,2
"46",3,8,1,0,0,2
"47",3,9,4,0,1,1
"48",3,10,3,0,0,3
"49",3,11,2,0,1,2
"50",3,12,1,1,1,1
"51",3,13,0,3,0,3
"52",3,14,1,0,0,3
"53",3,15,2,0,0,5
"54",3,16,4,0,0,3
"55",3,17,2,1,0,3
"56",3,18,4,2,0,2
"57",3,19,1,3,0,1
"58",4,1,0,1,1,0
"59",4,2,1,0,1,0
"60",4,3,0,1,1,2
"61",4,4,3,1,0,0
"62",4,5,0,2,2,0
"63",4,6,0,0,1,2
"64",4,7,0,2,0,1
"65",4,8,0,1,2,1
"66",4,9,0,1,1,0
"67",4,10,2,2,0,2
"68",4,11,1,1,0,2
"69",4,12,3,1,0,1
"70",4,13,0,0,0,4
"71",4,14,1,1,0,4
"72",4,15,0,3,0,3
"73",4,16,1,3,0,2
"74",4,17,2,0,0,4
"75",4,18,2,4,0,1
"76",4,19,3,5,0,2
"77",5,1,0,0,1,2
"78",5,2,0,0,0,0
"79",5,3,0,0,0,0
"80",5,4,0,0,1,2
"81",5,5,0,0,0,0
"82",5,6,1,1,0,2
"83",5,7,0,0,1,1
