"","X","Y","answer","rate"
"1","8","18","heed",3.875
"2","8","14","heed",3.91666666666667
"3","8","17","heed",4.25
"4","8","16","hid",3.79166666666667
"5","8","13","hid",3.3125
"6","8","12","hid",3.5
"7","8","19","heed",4.41666666666667
"8","8","15","hid",3.66666666666667
"9","8","9","hid",3
"10","8","8","heed",3.25
"11","8","7","hid",3
"12","8","11","heed",3.75
"13","8","4","heed",4
"14","8","5","heed",4
"15","8","10","heed",3.5
"16","1","18","heed",3.75
"17","1","14","heed",3.83333333333333
"18","1","17","heed",4.10714285714285
"19","1","16","hid",3.27777777777778
"20","1","13","hid",3.85714285714285
"21","1","12","heed",3.66666666666667
"22","1","19","heed",4.16666666666667
"23","1","15","hid",4.11111111111111
"24","1","9","heed",4
"25","1","8","heed",3.5
"26","1","7","heed",4
"27","1","11","heed",3.5
"28","1","10","heed",3
"29","7","18","hid",4.05555555555556
"30","7","14","heed",4.28571428571428
"31","7","17","hid",3.85185185185185
"32","7","16","heed",4.10714285714285
"33","7","13","heed",4.05
"34","7","12","hid",3.86111111111111
"35","7","19","hid",3.83333333333333
"36","7","15","hid",3.5
"37","7","9","heed",3.5
"38","7","8","heed",4
"39","7","7","hid",3.22222222222222
"40","7","11","heed",4.25
"41","7","5","hid",3
"42","7","10","hid",3.5
"43","7","6","hid",2.75
"44","13","18","heed",3.75
"45","13","14","heed",4.5
"46","13","17","hid",3.9
"47","13","16","hid",3.7962962962963
"48","13","13","heed",3.5
"49","13","12","heed",4
"50","13","19","heed",4
"51","13","15","heed",3.75
"52","13","9","heed",2
"53","13","8","heed",3.5
"54","13","7","hid",2.5
"55","13","11","hid",3.25
"56","13","4","hid",3
"57","13","10","heed",4
"58","13","2","heed",3
"59","13","3","hid",4
"60","9","18","heed",4
"61","9","14","heed",3.875
"62","9","17","heed",4.06666666666666
"63","9","16","heed",3.95
"64","9","13","hid",3
"65","9","12","heed",3.5
"66","9","19","heed",4.2
"67","9","15","heed",3.5
"68","9","9","heed",4
"69","9","8","hid",3.66666666666667
"70","9","7","hid",3.66666666666667
"71","9","11","heed",4
"72","9","5","heed",4
"73","9","10","hid",3.33333333333333
"74","9","1","heed",3
"75","9","6","heed",3
"76","10","18","heed",3.83333333333333
"77","10","14","heed",4.33333333333333
"78","10","17","hid",3.45
"79","10","16","hid",3.55555555555555
"80","10","13","heed",4
