ExperimentName,Subject,Session,Clock.Information,Clock.StartTimeOfDay,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Block,answer1[Block],block1,block1.Cycle,block1.Sample,block2,block2.Cycle,block2.Sample,lx,lx.Cycle,lx.Sample,panel1111.ACC,panel1111.CRESP,panel1111.DurationError,panel1111.OnsetDelay,panel1111.OnsetTime,panel1111.RESP,panel1111.RT,panel1111.RTTime,panel1121.ACC,panel1121.CRESP,panel1121.DurationError,panel1121.OnsetDelay,panel1121.OnsetTime,panel1121.RESP,panel1121.RT,panel1121.RTTime,Procedure[Block],Running[Block],sound111,sound112,Trial,answer1[Trial],lxlist,lxlist.Cycle,lxlist.Sample,lxpanel1.ACC,lxpanel1.CRESP,lxpanel1.DurationError,lxpanel1.OnsetDelay,lxpanel1.OnsetTime,lxpanel1.RESP,lxpanel1.RT,lxpanel1.RTTime,lxsound,Procedure[Trial],Running[Trial]
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lxProc,lx,NA,NA,1,u,4,1,1,0,,-999999,81,41119,1,2165,43284,nv audio/u1_24k.wav,lxpro1,lxlist
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lxProc,lx,NA,NA,2,i,5,1,2,0,,-999999,43,43830,1,650,44480,nv audio/y1_24k.wav,lxpro1,lxlist
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lxProc,lx,NA,NA,3,a,2,1,3,0,,-999999,66,45056,1,2193,47249,nv audio/e1_24k.wav,lxpro1,lxlist
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lxProc,lx,NA,NA,4,a,1,1,4,0,,-999999,65,47825,1,1262,49087,nv audio/a1_24k.wav,lxpro1,lxlist
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lxProc,lx,NA,NA,5,i,3,1,5,0,,-999999,43,49641,1,580,50221,nv audio/i1_24k.wav,lxpro1,lxlist
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lxProc,lx,NA,NA,6,a,1,2,6,0,,-999999,30,50760,1,790,51550,nv audio/a1_24k.wav,lxpro1,lxlist
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lxProc,lx,NA,NA,7,i,5,2,7,0,,-999999,30,52092,1,604,52696,nv audio/y1_24k.wav,lxpro1,lxlist
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lxProc,lx,NA,NA,8,u,4,2,8,0,,-999999,54,53259,1,561,53820,nv audio/u1_24k.wav,lxpro1,lxlist
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lxProc,lx,NA,NA,9,e,2,2,9,0,,-999999,31,54356,1,762,55118,nv audio/e1_24k.wav,lxpro1,lxlist
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lxProc,lx,NA,NA,10,i,3,2,10,0,,-999999,30,55652,1,599,56251,nv audio/i1_24k.wav,lxpro1,lxlist
